log2_N, Init_T, FFT_T, RMS_T, Total_T
8 , 0.000331878662109 , 0.0315220355988 , 5.96046447754e-06 , 0.0318598747253
8 , 0.000335931777954 , 0.0240390300751 , 9.05990600586e-06 , 0.024384021759
8 , 0.000328779220581 , 0.0241541862488 , 1.00135803223e-05 , 0.0244929790497
8 , 0.000334024429321 , 0.0241310596466 , 1.00135803223e-05 , 0.0244750976562
8 , 0.000355005264282 , 0.0240669250488 , 1.00135803223e-05 , 0.0244319438934
8 , 0.000422954559326 , 0.0240099430084 , 9.05990600586e-06 , 0.0244419574738
8 , 0.000332832336426 , 0.024120092392 , 1.00135803223e-05 , 0.0244629383087
8 , 0.000388145446777 , 0.0241680145264 , 9.05990600586e-06 , 0.0245652198792
8 , 0.000337839126587 , 0.0243949890137 , 8.10623168945e-06 , 0.0247409343719
8 , 0.000349998474121 , 0.0240318775177 , 8.10623168945e-06 , 0.0243899822235
9 , 0.000332832336426 , 0.1518471241 , 1.4066696167e-05 , 0.152194023132
9 , 0.000341892242432 , 0.151221036911 , 1.00135803223e-05 , 0.151572942734
9 , 0.000340223312378 , 0.151460886002 , 8.10623168945e-06 , 0.151809215546
9 , 0.000342845916748 , 0.152032136917 , 8.82148742676e-06 , 0.152383804321
9 , 0.000385999679565 , 0.151519060135 , 1.38282775879e-05 , 0.151918888092
9 , 0.000343084335327 , 0.151073932648 , 8.10623168945e-06 , 0.151425123215
9 , 0.00033712387085 , 0.151741981506 , 1.00135803223e-05 , 0.152089118958
9 , 0.000339031219482 , 0.151469945908 , 7.86781311035e-06 , 0.15181684494
9 , 0.000349998474121 , 0.151557922363 , 7.86781311035e-06 , 0.151915788651
9 , 0.000344038009644 , 0.151281118393 , 8.82148742676e-06 , 0.15163397789
10 , 0.000334024429321 , 0.990091085434 , 2.47955322266e-05 , 0.990449905396
10 , 0.000487089157104 , 0.653182983398 , 1.00135803223e-05 , 0.653680086136
10 , 0.00041389465332 , 0.655418157578 , 1.38282775879e-05 , 0.655845880508
10 , 0.000366926193237 , 0.660471916199 , 2.21729278564e-05 , 0.66086101532
10 , 0.000486135482788 , 11.4036769867 , 1.90734863281e-05 , 11.4041821957
10 , 0.000450134277344 , 13.5329368114 , 1.71661376953e-05 , 13.5334041119
